Case ID,Cluster,ICS Score
2008-P-0171,3,1424.16184276
2008-P-1716,3,1428.16082132
2008-P-1724,3,1411.07129841
2008-P-1725,3,1391.42837201
2008-P-1729,3,1419.80088718
2008-P-1730,3,1185.14072549
2008-P-1734,3,1342.61902917
2008-P-1735,3,1403.78905134
2008-P-0174,3,1318.58029912
2008-P-1741,3,1433.89553307
2008-P-1742,3,1275.9161652
2008-P-1744,3,1407.02640802
2008-P-1745,2,950.388738996
2008-P-1753,3,1428.03303222
2008-P-1757,3,1433.22510898
2008-P-1758,3,1387.79411737
2008-P-1759,3,1138.67121861
2008-P-1770,3,1424.90853583
2008-P-1772,3,1145.84324579
2008-P-1774,3,1426.98544187
2008-P-1775,3,1065.35026577
2008-P-1776,3,1412.31489278
2008-P-1778,3,1383.96338887
2008-P-1779,3,1381.73060216
2008-P-1783,3,1411.99265888
2008-P-1785,3,1394.55936387
2008-P-1787,3,1402.49898301
2008-P-1790,2,941.799231944
2008-P-1793,2,963.606665157
2008-P-1796,3,1392.23278973
2008-P-1798,3,1209.46342341
2008-P-1799,3,1247.96223989
2008-P-1806,2,924.68640648
2008-P-1807,2,959.601660093
2008-P-1808,3,1179.03771254
2008-P-1809,2,966.105646514
2008-P-1810,2,931.259947099
2008-P-1811,3,1428.09772173
2008-P-1812,2,949.266470301
2008-P-1813,3,1417.47501006
2008-P-1814,3,1382.41045238
2008-P-1817,3,1336.19951257
2008-P-1821,2,970.702557066
2008-P-1822,3,1421.6617821
2008-P-1823,3,1426.09080154
2008-P-1824,3,1421.38365948
2008-P-1826,3,1432.18258079
2008-P-1827,3,1389.78846832
2008-P-1828,3,1419.4305015
2008-P-1829,3,1429.20976106
2008-P-1830,3,1428.9966978
2008-P-1831,3,1352.23657793
2008-P-1832,3,1386.37269397
2008-P-1833,3,1424.13067433
2008-P-1835,3,1432.09504032
2008-P-1840,2,887.698245203
2008-P-1846,3,1425.57497717
2008-P-1848,3,1418.27411481
2008-P-1849,3,1396.85078354
2008-P-1851,3,1413.56232172
2008-P-1852,2,871.102412266
2008-P-1853,3,1423.2287051
2008-P-1856,3,1400.79128166
2008-P-1865,3,1366.78830456
2008-P-1866,3,1365.51025175
2008-P-1871,3,1406.30190066
2008-P-1874,3,1399.14365438
2008-P-1876,3,1427.77334112
2008-P-1877,3,1085.39543071
2008-P-1878,3,1391.63245295
2008-P-0188,3,1398.6346529
2008-P-1880,3,1345.29559741
2008-P-1881,3,1423.40520258
2008-P-1891,3,1402.17891681
2008-P-1894,3,1407.57944263
2008-P-1895,3,1418.14330176
2008-P-0019,3,1382.29578352
2008-P-1910,3,1434.21570242
2008-P-1911,3,1400.4703367
2008-P-1916,2,816.215111563
2008-P-0192,3,1387.77652692
2008-P-1925,3,1412.90411485
2008-P-1926,3,1388.93895953
2008-P-1935,3,1354.35749253
2008-P-1937,3,1374.91183123
2008-P-1939,3,1393.250072
2008-P-1945,3,1399.24032015
2008-P-1946,3,1370.58933779
2008-P-1948,3,1433.00285689
2008-P-1949,3,1306.28146284
2008-P-1950,3,1381.02031332
2008-P-1951,3,1424.55602188
2008-P-1956,3,1402.88279929
2008-P-1957,3,1426.34749083
2008-P-1963,3,1399.44176987
2008-P-1964,3,1401.96408897
2008-P-1965,3,1424.29880167
2008-P-1966,3,1423.48365401
2008-P-1968,3,1267.76487039
2008-P-1973,3,1386.98517933
2008-P-1975,3,1307.74344232
2008-P-1976,3,1373.73222831
2008-P-1991,3,1428.55038057
2008-P-1993,3,1397.5776377
2008-P-1994,3,1421.53836302
2008-P-0002,3,1361.80986708
2008-P-2009,3,1393.18555496
2008-P-2010,3,1391.89727552
2008-P-2011,3,1329.5859334
2008-P-2012,2,917.490499787
2008-P-2024,3,1403.66631775
2008-P-2026,3,1423.86776336
2008-P-2029,3,1351.26769782
2008-P-0204,2,947.321409838
2008-P-2041,3,1404.08772958
2008-P-2042,3,1428.91757364
2008-P-2043,3,1431.55943975
2008-P-0205,3,1409.90937645
2008-P-2053,3,1339.87037222
2008-P-2058,3,1343.67904326
2008-P-2059,3,1414.4327782
2008-P-0206,3,1384.61466834
2008-P-2060,3,1410.93589091
2008-P-2066,3,1418.34883502
2008-P-2067,2,955.864464622
2008-P-2069,3,1364.38276674
2008-P-2070,3,1378.81024497
2008-P-2072,3,1427.28273372
2008-P-2084,3,1294.97551336
2008-P-2086,2,869.781440391
2008-P-2090,3,1364.75483633
2008-P-2092,2,920.45232958
2008-P-2093,3,1429.09086315
2008-P-2094,3,1373.03134665
2008-P-2097,3,1318.82806475
2008-P-2099,3,1412.0848618
2008-P-0021,2,942.344700571
2008-P-2107,3,1388.78154869
2008-P-2109,3,1412.79831202
2008-P-2110,3,1417.2975577
2008-P-2111,3,1411.38087158
2008-P-2112,3,1414.17964801
2008-P-2120,3,1388.2442909
2008-P-2125,3,1421.61424201
2008-P-2126,3,1382.59550964
2008-P-2127,3,1423.14502938
2008-P-2138,3,1385.83860831
2008-P-2140,3,1343.65503692
2008-P-2143,3,1417.88414942
2008-P-2146,3,1391.76645259
2008-P-2154,3,1403.03933517
2008-P-2156,3,1417.86321371
2008-P-0217,2,909.854442592
2008-P-0022,2,897.867134824
2008-P-0222,2,954.779877707
2008-P-0223,3,1411.98425818
2008-P-0224,3,1364.90887744
2008-P-0225,3,1370.49117421
2008-P-0226,3,1350.28415689
2008-P-0227,3,1411.01575449
2008-P-0228,3,1354.96782792
2008-P-0229,3,1340.99608566
2008-P-0023,3,1418.47814233
2008-P-0230,3,1404.02827086
2008-P-0231,2,948.726725063
2008-P-0239,2,952.536921128
2008-P-0252,2,979.861886268
2008-P-0253,3,1388.03072857
2008-P-0254,3,1396.3201551
2008-P-0255,3,1408.84242833
2008-P-0258,3,1403.29896154
2008-P-0260,3,1393.50566092
2008-P-0261,3,1413.86616014
2008-P-0262,3,1410.96342634
2008-P-0263,3,1419.34914258
2008-P-0264,3,1412.24102462
2008-P-0267,3,1235.25623206
2008-P-0275,3,1405.17779671
2008-P-0276,3,1261.61406385
2008-P-0277,3,1363.40410093
2008-P-0278,3,1402.01866742
2008-P-0028,2,857.319022713
2008-P-0280,3,1407.28757472
2008-P-0285,3,1414.66536265
2008-P-0286,3,1387.61650896
2008-P-0289,3,1379.35717206
2008-P-0030,3,1432.40427179
2008-P-0302,3,1372.94056535
2008-P-0031,3,1398.6582791
2008-P-0310,3,1382.88565278
2008-P-0313,3,1418.47388452
2008-P-0316,3,1430.39593933
2008-P-0319,3,1419.62439271
2008-P-0032,3,1396.21574959
2008-P-0322,3,1405.11852185
2008-P-0323,3,1403.49825615
2008-P-0324,3,1407.39123437
2008-P-0325,3,1408.55708527
2008-P-0332,3,1419.30029776
2008-P-0333,3,1385.03943428
2008-P-0337,3,1376.68324844
2008-P-0338,3,1338.12317986
2008-P-0339,3,1406.14463028
2008-P-0340,3,1290.8677861
2008-P-0341,3,1240.88852238
2008-P-0342,3,1415.20023013
2008-P-0343,2,958.203588679
2008-P-0344,3,1388.1780936
2008-P-0346,2,947.936865202
2008-P-0353,3,1426.25616563
2008-P-0354,3,1382.7496668
2008-P-0355,3,1412.54132712
2008-P-0368,3,1374.15539443
2008-P-0369,3,1419.01027384
2008-P-0370,3,1418.86316022
2008-P-0371,3,1429.10393482
2008-P-0372,2,937.740346701
2008-P-0376,3,1419.42268348
2008-P-0038,3,1393.25545159
2008-P-0380,3,1409.64766651
2008-P-0381,3,1413.36436264
2008-P-0383,3,1163.13463481
2008-P-0384,3,1399.2529859
2008-P-0385,3,1181.06628978
2008-P-0387,3,1412.21349335
2008-P-0039,3,1363.87281642
2008-P-0391,3,1342.62142555
2008-P-0393,3,1404.47216141
2008-P-0394,3,1404.02493836
2008-P-0395,3,1377.19912026
2008-P-0399,3,1393.19127284
2008-P-0004,3,1421.47502785
2008-P-0040,3,1366.74638787
2008-P-0400,3,1429.88976533
2008-P-0402,3,1417.68971866
2008-P-0403,3,1415.40868127
2008-P-0404,3,1287.79964135
2008-P-0409,3,1396.50788393
2008-P-0410,3,1356.5649234
2008-P-0411,3,1426.34320945
2008-P-0415,3,1427.2615587
2008-P-0417,3,1422.23981245
2008-P-0418,3,1389.66101952
2008-P-0420,3,1420.96641859
2008-P-0422,2,879.558006297
2008-P-0423,3,1389.45363133
2008-P-0427,3,1310.20145276
2008-P-0043,3,1434.53574916
2008-P-0435,3,1298.72814857
2008-P-0436,3,1395.37140219
2008-P-0444,3,1261.8242613
2008-P-0447,3,1394.61938976
2008-P-0448,2,910.459510629
2008-P-0449,3,1372.44385168
2008-P-0456,3,1415.52005837
2008-P-0457,3,1349.88072019
2008-P-0458,3,1398.61608588
2008-P-0463,3,1405.52862275
2008-P-0467,3,1410.22993346
2008-P-0471,3,1425.40761352
2008-P-0478,3,1412.58950363
2008-P-0479,3,1372.93045531
2008-P-0480,3,1430.21212143
2008-P-0049,3,1422.88878641
2008-P-0492,3,1426.10896071
2008-P-0497,3,1342.53536516
2008-P-0005,3,1423.25551797
2008-P-0050,3,1272.87422669
2008-P-0502,3,1357.32709959
2008-P-0503,2,948.022979166
2008-P-0504,3,1101.53538078
2008-P-0505,3,1425.79543015
2008-P-0506,3,1419.96034671
2008-P-0507,3,1420.12133952
2008-P-0509,3,1389.5219601
2008-P-0510,3,1350.97810371
2008-P-0511,3,1402.99058839
2008-P-0512,2,943.280700111
2008-P-0513,3,1430.90225733
2008-P-0514,3,1388.84218737
2008-P-0516,2,966.908070471
2008-P-0518,2,890.007413603
2008-P-0052,3,1397.6533885
2008-P-0521,3,1417.98572635
2008-P-0527,3,1414.30874368
